ORF	HC_Euclidean	HC_Pearson	K-Means
YPR184W	1	1	2
YLR312C	2	1	2
YFL030W	2	1	2
YML054C	1	1	2
YBR116C	1	1	2
YKL187C	1	1	2
YLR267W	1	1	2
YEL012W	2	1	2
YJL045W	2	1	2
YJR095W	2	1	2
YLR174W	2	1	2
YHR096C	2	1	2
YGL259W	1	1	2
YBL045C	1	1	2
YKR076W	1	1	2
YBR117C	1	1	2
YDL199C	1	1	2
YDL085W	1	1	2
YBR051W	2	1	2
YNL117W	2	1	2
YLR377C	2	1	2
YKR097W	2	1	2
YER065C	2	1	2
YDL215C	2	1	2
YNL195C	2	1	2
YJL089W	2	1	2
YAL054C	2	1	2
YER024W	2	1	2
YGR067C	2	1	2
YCR010C	2	1	2
YLR142W	2	1	2
YBR241C	1	2	5
YBL049W	1	1	2
YBL043W	1	1	2
YBL048W	1	2	5
YGR236C	3	2	5
YKL217W	3	1	5
YMR107W	1	1	5
YGR243W	3	2	5
YGR043C	3	2	5
YIL113W	1	2	5
YCR005C	2	1	2
YDL204W	3	2	5
YBR052C	1	2	5
YBR183W	1	2	5
YDR516C	1	2	5
YMR090W	1	2	5
YNL305C	1	2	5
YKL142W	1	2	5
YJR096W	1	2	5
YKL193C	1	2	5
YHR087W	1	2	5
YDR031W	1	2	5
YIL111W	1	2	4
YFR053C	1	3	5
YIL136W	1	2	5
YIL162W	1	2	5
YOL032W	1	2	5
YLR270W	1	2	5
YCL035C	1	2	5
YDR272W	1	2	5
YNL274C	1	2	5
YHR104W	1	2	5
YKL151C	1	2	5
YER067W	1	2	4
YOR178C	1	2	5
YDR533C	1	2	5
YNL194C	3	2	5
YBR147W	1	2	5
YNL134C	1	2	5
YDR070C	1	2	5
YKL026C	1	2	5
YEL011W	1	1	4
YDR178W	1	1	4
YGR008C	1	2	4
YML128C	1	2	4
YHL021C	1	2	4
YFR015C	1	2	4
YLR178C	1	2	5
YNL200C	1	2	4
YNL173C	1	2	5
YLR327C	1	2	4
YNL015W	1	2	4
YGR248W	1	2	4
YMR170C	1	2	5
YBR072W	1	2	4
YBL064C	1	2	4
YDR171W	1	2	4
YOR215C	1	2	4
YGR088W	1	2	4
YFR033C	1	2	5
YLL026W	1	1	4
YDR258C	1	1	5
YGL191W	1	2	5
YBL078C	1	2	5
YLR149C	1	1	5
YBL015W	1	1	5
YJL103C	1	1	5
YNL052W	1	1	5
YCR021C	4	2	4
YKL109W	1	1	4
YMR191W	1	1	5
YHR051W	1	1	5
YMR081C	1	1	5
YKL141W	1	1	4
YNR001C	1	1	4
YEL024W	1	1	4
YPR149W	1	1	4
YDR529C	1	1	4
YBR139W	1	1	4
YLR304C	1	1	4
YOR065W	1	1	5
YBL100C	1	1	2
YGR244C	1	2	4
YNL160W	1	2	4
YER150W	1	2	4
YMR250W	1	2	4
YER053C	1	2	4
YFL014W	1	2	4
YOR374W	1	2	4
YKL085W	1	2	4
YLL041C	1	2	4
YGL037C	1	2	4
YLR258W	1	2	4
YMR105C	1	2	4
YKL103C	1	2	4
YBL108W	1	1	2
YCL025C	1	1	2
YIL125W	1	1	2
YDR343C	1	2	4
YDR342C	1	2	4
YFL054C	1	2	5
YDR536W	2	1	2
YNL036W	5	4	2
YLR075W	6	5	1
YNL119W	6	5	1
YNL069C	6	5	1
YBL027W	6	5	1
YPL220W	6	5	1
YLR198C	6	5	1
YIL018W	6	5	1
YDR418W	6	5	1
YGL102C	6	5	1
YBR032W	6	5	1
YER131W	6	5	1
YBR181C	6	5	1
YML063W	6	5	1
YMR121C	6	5	1
YJL190C	6	5	1
YLR076C	6	5	1
YLR325C	6	5	1
YDL136W	6	5	1
YLR062C	6	5	1
YLL045C	6	5	1
YOL121C	6	5	1
YIL052C	6	5	1
YNL301C	6	5	6
YOL120C	6	5	1
YJL136C	6	5	1
YKR059W	6	5	1
YEL054C	6	5	1
YOR312C	6	5	1
YOR310C	6	5	6
YAL038W	6	5	1
YHL033C	6	5	1
YIL133C	6	5	1
YDR417C	6	5	1
YGR148C	6	5	1
YLR048W	6	5	1
YLR340W	6	5	1
YGR214W	6	5	1
YJR123W	6	5	6
YOR063W	6	5	1
YOR309C	6	5	6
YLR413W	6	5	6
YHR216W	6	5	1
YHL015W	6	5	1
YNL302C	6	5	1
YOL039W	6	5	1
YDL130W	6	5	1
YDR382W	6	5	1
YGL031C	6	5	1
YNL067W	6	5	1
YFR055W	6	5	6
YKL191W	6	5	3
YBR155W	6	5	3
YNL174W	6	5	3
YLR129W	6	5	3
YNL002C	6	5	3
YJL109C	6	5	3
YDR025W	6	5	6
YBR247C	6	5	6
YPR137W	6	5	6
YNL175C	6	5	6
YGL076C	6	5	6
YJL148W	6	5	6
YGL078C	6	5	6
YLR196W	6	5	6
YAL003W	6	5	6
YGR103W	6	5	6
YDL148C	6	5	6
YMR217W	6	5	6
YLR355C	6	5	3
YJR071W	6	5	6
YIL069C	6	5	6
YDR449C	6	5	6
YNL303W	6	5	3
YKL009W	6	5	6
YDR144C	6	5	3
YNL141W	6	5	3
YDR060W	6	5	3
YKL081W	6	5	6
YAL025C	6	5	6
YIL053W	6	5	3
YPL226W	6	5	6
YNL132W	6	5	6
YPL012W	6	5	3
YMR290C	6	5	3
YNL110C	6	5	6
YJL122W	6	5	6
YDR398W	6	5	6
YLR449W	6	5	3
YMR093W	6	5	3
YGR160W	6	5	3
YLR344W	6	5	6
YDL083C	6	5	6
YLR186W	6	5	6
YGR264C	6	5	3
YJL177W	6	5	6
YBR249C	6	5	6
YHR128W	6	5	6
YLR180W	6	5	3
YLR448W	6	5	6
YLL044W	6	5	6
YOR234C	6	5	6
YNL096C	6	5	6
YHR089C	6	5	6
YDR064W	6	5	6
YDL208W	6	5	6
YBR191W	6	5	6
YBR189W	6	5	6
YPL142C	6	5	1
YNL065W	6	5	6
YOL077C	6	5	6
YPL131W	6	5	6
YLR249W	6	5	1
YLR060W	6	5	1
YLR044C	6	5	1
YOL040C	6	5	6
YJR145C	6	5	6
YML123C	6	5	6
YBR048W	6	5	6
YAL012W	6	5	6
YMR131C	6	5	6
YLR175W	6	5	1
YNR053C	6	5	6
YAR073W	6	5	1
YLR339C	6	5	1
YBR238C	6	5	6
YNL061W	6	6	3
